bid,btype,dated,trsource,destination,trip,route,pcount,snum,adults,child,revenue
2872,KSRTC,02-01-20,Mysuru,Shivamogga,3,1,58,7,46,11,3128
6403,KSRTC,02-01-20,Dharwad,Hassan,1,4,55,4,44,11,4491
7363,KSRTC,02-01-20,Bengaluru,Udupi,2,6,60,1,48,12,3094
7915,KSRTC,02-01-20,Haveri,Belagavi,5,7,57,2,45,11,3046
8560,KSRTC,02-01-20,Bijapur,Bidar,5,9,58,3,46,11,3166
13106,KSRTC,02-01-20,Mysuru,Gadag,1,2,55,4,44,11,3183
13437,KSRTC,02-01-20,Dharwad,Raichur,2,9,59,7,47,11,4003
16815,KSRTC,02-01-20,Shivamogga,Bijapur,1,3,55,1,44,11,3771
18124,KSRTC,02-01-20,Tumakuru,Udupi,1,7,58,8,46,11,4194
19571,KSRTC,02-01-20,Bagalkot,Kolar,5,8,58,6,46,11,3362
21884,KSRTC,02-01-20,Kolar,Ballari,4,1,56,1,44,11,4307
26190,KSRTC,02-01-20,Yadgir,Udupi,2,1,58,4,46,11,3243
28753,KSRTC,02-01-20,Raichur,Chikballapur,5,9,55,7,44,11,3061
29189,KSRTC,02-01-20,Raichur,Chitradurga,1,3,60,1,48,12,4289
29478,KSRTC,02-01-20,Bagalkot,Ballari,3,3,57,7,45,11,3165
31733,KSRTC,02-01-20,Bidar,DakshinaKannada,1,1,60,1,48,12,3385
33422,KSRTC,02-01-20,Chitradurga,Davangere,1,6,57,5,45,11,4460
34465,KSRTC,02-01-20,Mysuru,Chitradurga,4,10,55,1,44,11,3993
35316,KSRTC,02-01-20,DakshinaKannada,Chamarajanagar,3,10,57,6,45,11,4116
35956,KSRTC,02-01-20,Koppal,Karwar,4,9,56,2,44,11,4210
37736,KSRTC,02-01-20,Haveri,Bengaluru,3,7,60,8,48,12,4073
39211,KSRTC,02-01-20,Bijapur,Belagavi,1,2,58,4,46,11,4479
40506,KSRTC,02-01-20,Karwar,Haveri,4,2,59,2,47,11,3668
40849,KSRTC,02-01-20,Kolar,DakshinaKannada,3,9,57,6,45,11,3584
41338,KSRTC,02-01-20,DakshinaKannada,Haveri,1,8,57,6,45,11,3001
48179,KSRTC,02-01-20,Mandya,Dharwad,5,6,57,7,45,11,3779
48276,KSRTC,02-01-20,Mandya,Raichur,4,2,56,2,44,11,3602
49894,KSRTC,02-01-20,Kodagu,Bijapur,2,2,56,5,44,11,3753
51091,KSRTC,02-01-20,Bagalkot,Gulbarga,4,3,57,8,45,11,3118
51444,KSRTC,02-01-20,Karwar,Chamarajanagar,1,6,60,6,48,12,4158
53381,KSRTC,02-01-20,Udupi,Raichur,3,1,58,2,46,11,4195
63856,KSRTC,02-01-20,Davangere,Kodagu,1,3,56,3,44,11,3386
64707,KSRTC,02-01-20,DakshinaKannada,Haveri,4,3,59,6,47,11,4058
68280,KSRTC,02-01-20,Hassan,Ramanagara,2,8,56,2,44,11,3017
69509,KSRTC,02-01-20,Ballari,Shivamogga,3,4,58,6,46,11,3683
69588,KSRTC,02-01-20,Yadgir,Kodagu,3,6,55,3,44,11,3703
69654,KSRTC,02-01-20,Kodagu,Haveri,3,10,58,4,46,11,3777
70115,KSRTC,02-01-20,Gadag,Udupi,4,1,60,7,48,12,3765
70230,KSRTC,02-01-20,Shivamogga,Bengaluru,2,8,55,5,44,11,4109
70777,KSRTC,02-01-20,Haveri,Ballari,1,5,56,2,44,11,3507
73537,KSRTC,02-01-20,Chikkamagaluru,Kodagu,3,3,57,1,45,11,3644
73591,KSRTC,02-01-20,Mandya,Ramanagara,5,3,60,4,48,12,3162
74930,KSRTC,02-01-20,Dharwad,DakshinaKannada,5,7,55,4,44,11,3032
75469,KSRTC,02-01-20,Ramanagara,Bagalkot,1,9,57,3,45,11,3391
78416,KSRTC,02-01-20,Udupi,Haveri,5,6,57,5,45,11,3947
79504,KSRTC,02-01-20,Mandya,Kolar,4,9,59,4,47,11,3740
81456,KSRTC,02-01-20,Udupi,Mandya,3,6,55,6,44,11,4479
82909,KSRTC,02-01-20,Davangere,Belagavi,3,2,58,3,46,11,4327
85513,KSRTC,02-01-20,Bengaluru,Gulbarga,4,6,57,6,45,11,3777
68,KSRTC,03-01-20,Bengaluru,Bijapur,4,9,59,8,47,11,4219
2496,KSRTC,03-01-20,Hassan,Koppal,4,6,58,4,46,11,3093
5805,KSRTC,03-01-20,Yadgir,Gulbarga,3,8,59,7,47,11,3895
8081,KSRTC,03-01-20,Shivamogga,Raichur,1,1,56,7,44,11,3878
10966,KSRTC,03-01-20,Chikkamagaluru,Gulbarga,3,7,56,5,44,11,4307
11593,KSRTC,03-01-20,Gadag,Udupi,1,6,60,6,48,12,4289
13572,KSRTC,03-01-20,Mysuru,Mysuru,1,2,59,5,47,11,3850
13872,KSRTC,03-01-20,Dharwad,Mysuru,3,8,57,7,45,11,3010
14793,KSRTC,03-01-20,Udupi,Tumakuru,2,6,57,4,45,11,3847
15726,KSRTC,03-01-20,Raichur,Gadag,2,4,60,3,48,12,4170
17041,KSRTC,03-01-20,Chikballapur,Mandya,4,6,59,8,47,11,3514
17814,KSRTC,03-01-20,Davangere,Bijapur,1,2,60,6,48,12,4179
19486,KSRTC,03-01-20,Chikkamagaluru,Kolar,3,8,57,4,45,11,4060
24202,KSRTC,03-01-20,Ramanagara,Ramanagara,5,3,57,7,45,11,4209
27623,KSRTC,03-01-20,Gadag,Kolar,5,6,60,6,48,12,4035
29277,KSRTC,03-01-20,Belagavi,Ramanagara,1,9,55,3,44,11,3909
29323,KSRTC,03-01-20,Chikkamagaluru,Haveri,5,5,60,3,48,12,3970
34029,KSRTC,03-01-20,Kolar,Haveri,1,6,59,7,47,11,4371
36904,KSRTC,03-01-20,DakshinaKannada,Raichur,4,10,59,5,47,11,4128
37482,KSRTC,03-01-20,Mandya,Haveri,5,1,55,7,44,11,3901
41459,KSRTC,03-01-20,Bijapur,Bidar,1,10,59,5,47,11,4125
42273,KSRTC,03-01-20,Chikballapur,Bengaluru,4,8,56,5,44,11,3991
50224,KSRTC,03-01-20,Bagalkot,Shivamogga,1,1,58,6,46,11,4358
53016,KSRTC,03-01-20,Tumakuru,Kodagu,5,9,56,8,44,11,3665
54568,KSRTC,03-01-20,Bijapur,Hassan,3,7,60,4,48,12,3703
55339,KSRTC,03-01-20,Gadag,Bijapur,4,9,57,5,45,11,3547
57698,KSRTC,03-01-20,Bagalkot,Bijapur,5,6,57,3,45,11,3050
58304,KSRTC,03-01-20,Tumakuru,Bijapur,1,3,60,4,48,12,3708
59519,KSRTC,03-01-20,Chikkamagaluru,Shivamogga,3,4,55,6,44,11,3957
59806,KSRTC,03-01-20,Kolar,Yadgir,4,6,56,7,44,11,3790
62984,KSRTC,03-01-20,Udupi,Kodagu,2,9,58,4,46,11,4479
64004,KSRTC,03-01-20,Bengaluru,Koppal,4,6,58,1,46,11,4272
65517,KSRTC,03-01-20,Gadag,Koppal,2,9,56,6,44,11,3318
66098,KSRTC,03-01-20,Gadag,Dharwad,5,3,59,8,47,11,4058
68195,KSRTC,03-01-20,Ballari,Gulbarga,1,3,56,4,44,11,4340
70829,KSRTC,03-01-20,Bagalkot,Chikkamagaluru,3,8,59,8,47,11,3474
72565,KSRTC,03-01-20,Bidar,Chikkamagaluru,1,9,58,5,46,11,3613
76923,KSRTC,03-01-20,Dharwad,Ramanagara,3,2,59,6,47,11,3448
78452,KSRTC,03-01-20,Yadgir,Bagalkot,3,8,59,2,47,11,3257
78558,KSRTC,03-01-20,Hassan,Haveri,4,3,56,5,44,11,3865
80041,KSRTC,03-01-20,Bidar,DakshinaKannada,4,9,55,3,44,11,3715
81356,KSRTC,03-01-20,Bengaluru,Chitradurga,4,8,55,4,44,11,3110
2272,KSRTC,04-01-20,Bengaluru,Mysuru,2,3,57,7,45,11,3968
8470,KSRTC,04-01-20,Shivamogga,Belagavi,4,2,58,6,46,11,3267
9115,KSRTC,04-01-20,Bidar,Chikballapur,3,3,57,5,45,11,4176
10761,KSRTC,04-01-20,Tumakuru,Haveri,1,8,59,2,47,11,3068
16022,KSRTC,04-01-20,Ramanagara,Belagavi,5,1,56,4,44,11,3644
18747,KSRTC,04-01-20,Chikkamagaluru,Ballari,4,7,59,3,47,11,3903
20541,KSRTC,04-01-20,Mandya,Yadgir,3,5,60,6,48,12,3736
23583,KSRTC,04-01-20,Gulbarga,Tumakuru,1,3,56,2,44,11,3888
24159,KSRTC,04-01-20,Karwar,Ballari,3,2,55,2,44,11,4406
28460,KSRTC,04-01-20,Udupi,DakshinaKannada,3,10,59,2,47,11,3723
32785,KSRTC,04-01-20,Mysuru,Karwar,1,8,59,8,47,11,3085
35695,KSRTC,04-01-20,Gulbarga,Ballari,3,8,59,8,47,11,3441
37088,KSRTC,04-01-20,Raichur,Ramanagara,1,3,57,3,45,11,3685
39140,KSRTC,04-01-20,Gadag,Chikballapur,1,5,58,2,46,11,4292
40114,KSRTC,04-01-20,Shivamogga,Mysuru,5,1,58,7,46,11,4279
41047,KSRTC,04-01-20,Karwar,Raichur,3,3,58,3,46,11,3205
41861,KSRTC,04-01-20,Chikballapur,Gulbarga,2,2,60,6,48,12,3831
46501,KSRTC,04-01-20,Bidar,Ramanagara,1,10,59,2,47,11,3350
50141,KSRTC,04-01-20,Gulbarga,DakshinaKannada,2,3,55,5,44,11,3367
55948,KSRTC,04-01-20,Chikkamagaluru,Tumakuru,2,4,55,6,44,11,4165
55980,KSRTC,04-01-20,Raichur,Karwar,1,2,58,2,46,11,4430
55995,KSRTC,04-01-20,Bengaluru,Ballari,1,2,56,8,44,11,3410
56524,KSRTC,04-01-20,Hassan,Ramanagara,2,7,56,5,44,11,3565
57151,KSRTC,04-01-20,Yadgir,Kodagu,2,2,56,1,44,11,3333
57165,KSRTC,04-01-20,Haveri,Chikkamagaluru,2,2,58,2,46,11,3856
59396,KSRTC,04-01-20,Ramanagara,Raichur,4,1,60,8,48,12,3494
61235,KSRTC,04-01-20,Bagalkot,Ballari,5,4,56,7,44,11,3985
62464,KSRTC,04-01-20,Karwar,Tumakuru,1,10,60,5,48,12,3624
62528,KSRTC,04-01-20,Mysuru,Tumakuru,1,9,56,5,44,11,3330
65806,KSRTC,04-01-20,Kodagu,Bagalkot,4,8,56,7,44,11,4118
68438,KSRTC,04-01-20,Raichur,Chikballapur,3,8,58,4,46,11,3583
71459,KSRTC,04-01-20,Haveri,Haveri,5,8,60,5,48,12,3518
72965,KSRTC,04-01-20,Chamarajanagar,Haveri,3,9,57,1,45,11,3253
78693,KSRTC,04-01-20,Gulbarga,Koppal,2,1,56,6,44,11,3713
79838,KSRTC,04-01-20,Kodagu,Chikballapur,2,2,55,2,44,11,3195
81175,KSRTC,04-01-20,Hassan,Chitradurga,1,6,56,5,44,11,4323
83196,KSRTC,04-01-20,Tumakuru,Kodagu,1,1,60,2,48,12,4439
85534,KSRTC,04-01-20,Haveri,Gulbarga,3,3,59,2,47,11,4422
3334,KSRTC,05-01-20,Chikkamagaluru,DakshinaKannada,2,8,59,7,47,11,3369
4271,KSRTC,05-01-20,Kodagu,Udupi,3,8,57,2,45,11,4176
6485,KSRTC,05-01-20,Kodagu,Kolar,1,4,60,1,48,12,3476
9770,KSRTC,05-01-20,Dharwad,Yadgir,3,4,56,3,44,11,3499
13512,KSRTC,05-01-20,Bijapur,Hassan,1,6,58,7,46,11,3111
20974,KSRTC,05-01-20,Bengaluru,Gulbarga,1,5,59,7,47,11,4259
21270,KSRTC,05-01-20,Chikkamagaluru,Chamarajanagar,4,9,59,1,47,11,3765
21549,KSRTC,05-01-20,DakshinaKannada,Bengaluru,4,8,59,2,47,11,4438
25707,KSRTC,05-01-20,Bidar,Chikkamagaluru,5,8,56,1,44,11,4367
27205,KSRTC,05-01-20,Mysuru,Haveri,3,5,57,1,45,11,3987
32475,KSRTC,05-01-20,Raichur,Raichur,3,1,60,5,48,12,4090
32604,KSRTC,05-01-20,Karwar,Chikballapur,2,9,59,1,47,11,3864
33080,KSRTC,05-01-20,Bengaluru,Chikkamagaluru,2,1,58,2,46,11,3626
35263,KSRTC,05-01-20,Ballari,Ramanagara,4,7,55,6,44,11,3092
35572,KSRTC,05-01-20,Yadgir,Karwar,5,8,58,3,46,11,3009
40391,KSRTC,05-01-20,Dharwad,Bengaluru,1,7,56,5,44,11,3048
40396,KSRTC,05-01-20,Haveri,Davangere,5,5,55,7,44,11,3979
41261,KSRTC,05-01-20,Tumakuru,Bengaluru,4,7,56,4,44,11,4189
41794,KSRTC,05-01-20,Mysuru,Bengaluru,5,8,59,4,47,11,4136
45720,KSRTC,05-01-20,DakshinaKannada,Hassan,3,1,58,7,46,11,3134
48432,KSRTC,05-01-20,Bidar,Bidar,3,10,60,1,48,12,3093
51082,KSRTC,05-01-20,Ramanagara,Mysuru,5,6,55,8,44,11,3861
56117,KSRTC,05-01-20,Chamarajanagar,Bijapur,1,6,58,7,46,11,4252
57758,KSRTC,05-01-20,Chikballapur,Mysuru,4,6,60,6,48,12,3183
60869,KSRTC,05-01-20,Haveri,Raichur,5,2,58,7,46,11,3500
64346,KSRTC,05-01-20,DakshinaKannada,Bidar,1,7,56,4,44,11,3793
66498,KSRTC,05-01-20,Karwar,Bagalkot,5,7,60,2,48,12,3649
69166,KSRTC,05-01-20,Udupi,Koppal,4,1,56,6,44,11,3253
70815,KSRTC,05-01-20,Yadgir,Chikkamagaluru,4,3,57,6,45,11,3718
72705,KSRTC,05-01-20,Gadag,Ramanagara,3,8,57,8,45,11,4368
77540,KSRTC,05-01-20,DakshinaKannada,Chamarajanagar,4,9,57,8,45,11,4226
78931,KSRTC,05-01-20,Shivamogga,Chamarajanagar,5,8,55,3,44,11,4197
79102,KSRTC,05-01-20,Tumakuru,Mandya,3,2,55,6,44,11,3323
84796,KSRTC,05-01-20,Karwar,Belagavi,2,4,55,2,44,11,3091
3577,KSRTC,06-01-20,Gadag,Chikkamagaluru,2,2,57,2,45,11,3024
6400,KSRTC,06-01-20,Haveri,Mandya,1,1,58,1,46,11,3161
14856,KSRTC,06-01-20,Udupi,Dharwad,4,6,56,6,44,11,3392
20458,KSRTC,06-01-20,Karwar,Chikballapur,5,2,58,3,46,11,3720
24376,KSRTC,06-01-20,Chikballapur,Dharwad,2,7,59,5,47,11,3509
28561,KSRTC,06-01-20,Udupi,Haveri,2,7,58,6,46,11,3381
28788,KSRTC,06-01-20,Hassan,Mandya,2,8,58,6,46,11,3398
29586,KSRTC,06-01-20,Bengaluru,Ballari,1,3,56,5,44,11,3829
31792,KSRTC,06-01-20,DakshinaKannada,Kodagu,5,1,59,5,47,11,3428
38516,KSRTC,06-01-20,Haveri,Chikkamagaluru,1,8,57,2,45,11,3555
40427,KSRTC,06-01-20,Udupi,Yadgir,2,5,56,2,44,11,3216
43385,KSRTC,06-01-20,Chikballapur,Gadag,5,10,55,8,44,11,3861
45125,KSRTC,06-01-20,Yadgir,Bengaluru,2,8,58,6,46,11,3278
45143,KSRTC,06-01-20,Bengaluru,Davangere,2,10,57,6,45,11,3870
48772,KSRTC,06-01-20,Ballari,DakshinaKannada,5,5,57,8,45,11,3448
51560,KSRTC,06-01-20,Mysuru,Belagavi,4,1,59,6,47,11,4036
52201,KSRTC,06-01-20,Haveri,Udupi,5,9,59,4,47,11,4128
61360,KSRTC,06-01-20,Ballari,Bengaluru,3,3,55,7,44,11,3665
61418,KSRTC,06-01-20,Bidar,Shivamogga,3,6,59,8,47,11,3130
64610,KSRTC,06-01-20,Bidar,Chitradurga,1,9,57,2,45,11,3000
68591,KSRTC,06-01-20,Bijapur,Koppal,2,6,55,6,44,11,3644
71345,KSRTC,06-01-20,Bidar,Haveri,5,4,59,7,47,11,3004
72788,KSRTC,06-01-20,Gulbarga,Chamarajanagar,1,10,58,3,46,11,4435
73215,KSRTC,06-01-20,Bidar,Raichur,5,6,58,3,46,11,4096
76482,KSRTC,06-01-20,Bidar,Mandya,3,3,59,2,47,11,4214
77908,KSRTC,06-01-20,Bagalkot,Kolar,2,3,58,3,46,11,3660
80053,KSRTC,06-01-20,Bengaluru,Bidar,1,2,60,4,48,12,4259
80307,KSRTC,06-01-20,DakshinaKannada,Kodagu,4,5,58,6,46,11,4421
82038,KSRTC,06-01-20,Tumakuru,Yadgir,3,4,56,2,44,11,3653
3978,KSRTC,07-01-20,Chitradurga,Davangere,5,4,57,5,45,11,4483
4017,KSRTC,07-01-20,Bijapur,Hassan,3,5,57,8,45,11,3610
6948,KSRTC,07-01-20,Udupi,Chamarajanagar,5,5,60,4,48,12,3328
9876,KSRTC,07-01-20,Gadag,Bidar,4,6,59,2,47,11,4089
13443,KSRTC,07-01-20,Mysuru,Haveri,5,6,59,4,47,11,4331
15609,KSRTC,07-01-20,Shivamogga,Mandya,3,7,55,6,44,11,3914
16994,KSRTC,07-01-20,Haveri,Haveri,5,3,59,8,47,11,3672
17436,KSRTC,07-01-20,Karwar,Chitradurga,5,4,56,4,44,11,3162
20361,KSRTC,07-01-20,Dharwad,Ramanagara,2,10,58,1,46,11,3789
22617,KSRTC,07-01-20,DakshinaKannada,Mandya,3,4,58,8,46,11,3143
23873,KSRTC,07-01-20,Yadgir,Dharwad,5,6,56,6,44,11,3101
23966,KSRTC,07-01-20,Kolar,Bengaluru,3,6,57,1,45,11,3365
25016,KSRTC,07-01-20,Chikballapur,Bidar,3,6,59,4,47,11,4056
27469,KSRTC,07-01-20,Raichur,Hassan,3,3,56,8,44,11,3966
29748,KSRTC,07-01-20,Mysuru,Hassan,3,2,55,6,44,11,3133
30611,KSRTC,07-01-20,Bagalkot,Bidar,3,7,57,5,45,11,3486
31488,KSRTC,07-01-20,Bengaluru,Udupi,2,3,60,2,48,12,3161
34150,KSRTC,07-01-20,Kolar,Chitradurga,5,1,56,3,44,11,3661
36059,KSRTC,07-01-20,Gulbarga,Davangere,4,2,58,4,46,11,3129
36142,KSRTC,07-01-20,Bijapur,Karwar,1,7,57,5,45,11,3810
38410,KSRTC,07-01-20,Dharwad,Chitradurga,4,4,55,8,44,11,4434
40109,KSRTC,07-01-20,Belagavi,Kodagu,3,10,55,2,44,11,3886
52462,KSRTC,07-01-20,Yadgir,Haveri,4,6,60,5,48,12,4110
54659,KSRTC,07-01-20,DakshinaKannada,Haveri,2,7,57,6,45,11,4357
57652,KSRTC,07-01-20,Hassan,Shivamogga,3,8,59,3,47,11,3759
59908,KSRTC,07-01-20,Davangere,Bijapur,3,1,55,7,44,11,3127
60095,KSRTC,07-01-20,DakshinaKannada,Bidar,2,2,60,7,48,12,3303
64137,KSRTC,07-01-20,Belagavi,Gulbarga,1,2,59,2,47,11,4415
65871,KSRTC,07-01-20,Shivamogga,Chikballapur,5,5,58,5,46,11,4486
70184,KSRTC,07-01-20,Bengaluru,Shivamogga,4,7,56,5,44,11,3123
71800,KSRTC,07-01-20,Tumakuru,Bijapur,2,6,58,6,46,11,3866
76587,KSRTC,07-01-20,Mysuru,Mandya,4,3,55,7,44,11,4411
76933,KSRTC,07-01-20,Ballari,Bagalkot,3,3,58,5,46,11,4312
80567,KSRTC,07-01-20,Yadgir,Bengaluru,5,7,57,4,45,11,4027
82727,KSRTC,07-01-20,Bijapur,Shivamogga,4,6,55,2,44,11,3686
83431,KSRTC,07-01-20,Belagavi,Tumakuru,4,4,58,8,46,11,3671
83591,KSRTC,07-01-20,Belagavi,Bengaluru,3,5,58,3,46,11,4482
143,KSRTC,08-01-20,Bengaluru,Gulbarga,3,5,60,2,48,12,3793
930,KSRTC,08-01-20,Bengaluru,Chikkamagaluru,5,10,57,3,45,11,3708
3962,KSRTC,08-01-20,Mandya,Shivamogga,5,4,60,3,48,12,3835
5156,KSRTC,08-01-20,Mandya,Bijapur,1,9,59,6,47,11,3935
13932,KSRTC,08-01-20,Chitradurga,Karwar,5,4,58,2,46,11,4400
17420,KSRTC,08-01-20,Haveri,Chamarajanagar,4,6,58,2,46,11,4364
21789,KSRTC,08-01-20,Bengaluru,Tumakuru,5,6,59,2,47,11,3561
23062,KSRTC,08-01-20,Chikkamagaluru,Raichur,5,2,60,2,48,12,3721
23585,KSRTC,08-01-20,Tumakuru,Udupi,1,9,59,1,47,11,3093
28911,KSRTC,08-01-20,Hassan,Bijapur,1,5,58,2,46,11,4084
31875,KSRTC,08-01-20,Ballari,Bengaluru,4,7,58,2,46,11,4125
31961,KSRTC,08-01-20,Kodagu,Kolar,4,4,60,1,48,12,4227
37116,KSRTC,08-01-20,Bidar,Kodagu,1,1,59,8,47,11,3975
37908,KSRTC,08-01-20,Karwar,Shivamogga,3,4,58,7,46,11,3985
42570,KSRTC,08-01-20,Davangere,Bagalkot,3,3,59,8,47,11,4053
42584,KSRTC,08-01-20,Hassan,Bengaluru,4,8,60,3,48,12,4100
43863,KSRTC,08-01-20,Dharwad,Udupi,4,2,60,6,48,12,3755
45544,KSRTC,08-01-20,Chikballapur,Chikballapur,1,10,56,2,44,11,3405
45571,KSRTC,08-01-20,Kolar,Davangere,1,5,60,7,48,12,3208
46174,KSRTC,08-01-20,Chamarajanagar,Chitradurga,3,3,55,2,44,11,3101
46911,KSRTC,08-01-20,Udupi,Chikballapur,3,3,55,2,44,11,3606
50358,KSRTC,08-01-20,Chitradurga,Ballari,4,3,55,3,44,11,4368
50777,KSRTC,08-01-20,Yadgir,Hassan,4,4,57,5,45,11,3370
51550,KSRTC,08-01-20,Karwar,Tumakuru,4,5,58,4,46,11,3417
52841,KSRTC,08-01-20,Koppal,Dharwad,3,9,60,7,48,12,4205
59789,KSRTC,08-01-20,Karwar,Shivamogga,1,7,56,7,44,11,4153
62570,KSRTC,08-01-20,Bidar,Gadag,2,6,58,2,46,11,3814
63266,KSRTC,08-01-20,Ballari,Chamarajanagar,5,10,59,1,47,11,4189
66259,KSRTC,08-01-20,Chikballapur,Ballari,5,4,60,6,48,12,3616
68006,KSRTC,08-01-20,Ballari,Mandya,5,3,56,3,44,11,3756
68231,KSRTC,08-01-20,Ballari,Gadag,5,6,57,8,45,11,3198
73323,KSRTC,08-01-20,Hassan,Gulbarga,2,10,59,6,47,11,4082
78460,KSRTC,08-01-20,Belagavi,Bijapur,2,1,59,3,47,11,3674
80316,KSRTC,08-01-20,Ballari,Bidar,3,6,57,6,45,11,3381
83690,KSRTC,08-01-20,DakshinaKannada,Gulbarga,4,6,59,6,47,11,3192
1653,KSRTC,09-01-20,Kodagu,Yadgir,2,7,58,7,46,11,4468
5369,KSRTC,09-01-20,Kolar,Shivamogga,1,5,59,2,47,11,3244
7594,KSRTC,09-01-20,Bidar,Kolar,5,6,56,3,44,11,4307
7712,KSRTC,09-01-20,Bengaluru,Bidar,3,4,58,8,46,11,4472
11150,KSRTC,09-01-20,Karwar,Chitradurga,2,5,59,1,47,11,3754
13302,KSRTC,09-01-20,Tumakuru,Yadgir,2,8,58,3,46,11,3979
13917,KSRTC,09-01-20,Koppal,Ballari,2,2,57,3,45,11,3331
15620,KSRTC,09-01-20,Ballari,Ballari,4,10,55,1,44,11,3244
16238,KSRTC,09-01-20,Hassan,Mandya,4,5,59,3,47,11,3278
17000,KSRTC,09-01-20,Ballari,Tumakuru,2,3,59,3,47,11,3306
17128,KSRTC,09-01-20,Chikballapur,Kolar,2,10,57,7,45,11,3526
18003,KSRTC,09-01-20,Koppal,Hassan,3,2,57,6,45,11,4200
19837,KSRTC,09-01-20,Haveri,Kodagu,2,5,55,5,44,11,4151
21634,KSRTC,09-01-20,Chitradurga,Koppal,2,2,60,6,48,12,3429
22366,KSRTC,09-01-20,Shivamogga,Haveri,1,4,56,4,44,11,4230
24634,KSRTC,09-01-20,Karwar,Davangere,3,5,59,1,47,11,3528
25392,KSRTC,09-01-20,Ramanagara,Kolar,4,2,56,4,44,11,3750
26377,KSRTC,09-01-20,Kodagu,Chikkamagaluru,3,7,57,6,45,11,3453
32410,KSRTC,09-01-20,Bijapur,Bidar,1,1,60,2,48,12,3184
35492,KSRTC,09-01-20,Dharwad,Ramanagara,3,3,57,2,45,11,4066
35633,KSRTC,09-01-20,Bengaluru,Gadag,5,9,58,6,46,11,3458
